"","ISO3","NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha/yr","Graze_FluxDensity_mean_MgC/ha/yr","CropArea_sum_ha_positiveDelta","GrazeArea_sum_ha_positiveDelta"
"1","ABW","Aruba",0,0,NA,NA,0,NA
"2","AFG","Afghanistan",1869860.10413284,26535589.435637,0.0856611288667598,0.138515275410775,727619.060854422,6385719.15791575
"3","AGO","Angola",77245465.7226746,384715765.832933,0.991987789141171,NA,2595645.71823177,NA
"4","AIA","Anguilla",0,0,0,NA,1.70032693481445,NA
"5","ALA","Åland Islands",15723.0519606507,0,0.0884808114641437,NA,5923.33776498058,NA
"6","ALB","Albania",843713.408660085,106573.620269749,0.116906389808128,NA,240566.664789046,NA
"7","AND","Andorra",0,245990.569787174,0,0.462359885846119,53.9067328247071,17734.4227096324
"8","ARE","United Arab Emirates",985.957487063234,0,0.143078837339444,NA,229.700283982628,NA
"9","ARG","Argentina",347308499.906882,320963642.560944,0.269560596659427,0.133080071481941,42947486.1695858,80393615.4093262
"10","ARM","Armenia",4649628.05083578,2144930.60052694,0.425647956825292,NA,364121.568562211,NA
"11","ASM","American Samoa",0,0,NA,NA,0,NA
"12","ATF","French Southern Territories",0,0,NA,NA,0,NA
"13","ATG","Antigua & Barbuda",0,0,NA,NA,0,NA
"14","AUS","Australia",193340516.532724,819820472.698761,0.145833982681765,0.122682724153079,44191921.2923611,222748143.869554
"15","AUT","Austria",14774501.0899814,2486942.76103988,0.396856292034662,0.226627042456991,1240961.47535197,365790.821500903
"16","AZE","Azerbaijan",6072082.49120252,4676848.07367398,0.0993734507178952,0.120532784160643,2036788.98382364,1293382.01946252
"17","BDI","Burundi",9495302.89467449,7614465.12363264,0.778598227255863,0.71029183172822,406512.7371336,357339.747950538
"18","BEL","Belgium",21077973.9214099,467814.596102099,0.778468278560223,0.365879555299626,902540.476039846,42620.0908036522
"19","BEN","Benin",94397908.9415376,325769.660190966,1.95250721251133,NA,1611567.39629696,NA
"20","BES","Caribbean Netherlands",0,0,NA,NA,0,NA
"21","BFA","Burkina Faso",113317916.551027,26797747.7915335,0.999395528927714,0.529991021825634,3779548.5127765,1685421.49382233
"22","BGD","Bangladesh",55954616.6415831,0,0.34363660130465,NA,5427692.74568404,NA
"23","BGR","Bulgaria",43724921.7403113,590449.90565742,0.394259526191755,NA,3696796.89270166,NA
"24","BHR","Bahrain",0,0,NA,NA,0,NA
"25","BHS","Bahamas",249.453908074386,0,0.0575034965000303,NA,144.602168133234,NA
"26","BIH","Bosnia & Herzegovina",2917811.52031497,243675.094317664,0.421748879153118,0.215799220091331,230612.074668225,37639.1682068383
"27","BLR","Belarus",71828050.4710363,140242.435920685,0.422922382230098,0.309022749934118,5661247.66537398,15127.5201098284
"28","BLZ","Belize",43778.0547403622,0,0.0458186488234174,NA,31848.7892772514,NA
"29","BMU","Bermuda",0,0,NA,NA,0,NA
"30","BOL","Bolivia",76571429.7821838,219957659.304173,1.11220075852063,0.560438953086444,2294892.33232898,13082463.1950143
"31","BRA","Brazil",1011263232.70365,2481731586.87043,0.645933624985191,0.660398125940822,52186127.3659931,125264416.992648
"32","BRB","Barbados",0,0,NA,NA,0,NA
"33","BRN","Brunei",0,0,0,NA,241.551038826664,NA
"34","BTN","Bhutan",115629.083551894,617241.505596534,0.347486623647012,NA,11091.9457693384,NA
"35","BWA","Botswana",2384271.35381216,58610096.8427702,0.43407796142008,0.133863813513355,183090.87043658,14594458.6776926
"36","CAF","Central African Republic",3663733.54969482,10829781.1003742,0.593536120404714,0.339370512584001,205757.404575852,1063712.63842922
"37","CAN","Canada",291050697.892766,35723303.0533765,0.259305668706888,NA,37414106.5952761,NA
"38","CCK","Cocos (Keeling) Islands",0,0,NA,NA,0,NA
"39","CHE","Switzerland",4307294.1805778,3216070.59910678,0.529419774779179,0.272484877061727,271195.900730781,393424.965302842
"40","CHL","Chile",2083299.07708911,45977639.1483938,0.0643517050605319,NA,1079121.40796138,NA
"41","CHN","China",1605279421.90946,1204762968.98848,0.490187392445692,NA,109160934.957292,NA
"42","CIV","Côte d’Ivoire",51209884.6801088,212699991.657495,1.44875535894432,0.695781709105907,1178250.10652418,10189977.1568116
"43","CMR","Cameroon",53283876.9483069,7280471.15014631,0.926028089942885,0.485945040713372,1918007.94263139,499402.918723656
"44","COD","Congo - Kinshasa",63818629.081664,60383601.0513841,0.828305630852547,NA,2568239.97908347,NA
"45","COG","Congo - Brazzaville",6940254.9052386,19295983.872983,1.85460930281659,1.00764498364882,124738.849213838,638319.520138585
"46","COK","Cook Islands",0,0,NA,NA,0,NA
"47","COL","Colombia",27345648.6966311,238170571.005545,1.19442985327368,0.50701978789978,763143.704691196,15658203.5316685
"48","COM","Comoros",0,0,NA,NA,0,NA
"49","CPV","Cape Verde",0,0,NA,NA,0,NA
"50","CRI","Costa Rica",1435212.17749145,1165874.796554,0.512965014407364,0.359335518270869,93262.51220398,108150.993270784
"51","CUB","Cuba",36204988.5016019,1769082.62107583,1.0552908676126,0.21195949042534,1143602.19261977,278210.806150711
"52","CUW","Curaçao",0,0,NA,NA,0,NA
"53","CXR","Christmas Island",0,0,NA,NA,0,NA
"54","CYM","Cayman Islands",0,0,0,NA,7.10086246462354,NA
"55","CYP","Cyprus",469540.114060644,0,0.227196963112476,NA,68888.8483408402,NA
"56","CZE","Czechia",33150574.7448812,0,0.416652124903343,NA,2652138.53984078,NA
"57","DEU","Germany",193215524.60407,3854500.60026413,0.533669190284073,0.323500390497468,12068370.4513165,397165.991498682
"58","DJI","Djibouti",0,3602.45017713589,NA,0.0755006306730276,0,1590.47244375
"59","DMA","Dominica",0,0,NA,NA,0,NA
"60","DNK","Denmark",39872135.5015057,0,0.645833240897328,NA,2057916.96558836,NA
"61","DOM","Dominican Republic",581576.023967745,731882.66591132,0.317285567140692,NA,61099.1153499124,NA
"62","DZA","Algeria",6515164.36193044,8352922.47558702,0.157041118818924,NA,1382899.88654558,NA
"63","ECU","Ecuador",6456097.04661612,13134364.9799583,1.21000004246451,NA,177853.906888202,NA
"64","EGY","Egypt",264105.087470635,58.2900153318817,0.0196286802985908,NA,448502.027735399,NA
"65","ERI","Eritrea",5633443.93010572,29758343.6086517,0.884304948555281,0.353013814410356,212349.218042534,2809931.92465262
"66","ESH","Western Sahara",0,0,NA,NA,0,NA
"67","ESP","Spain",28133393.5430498,2850755.72716843,0.183943666819115,0.272619583736643,5098190.11975287,348563.333576985
"68","EST","Estonia",7062301.29270451,0,0.363770338325639,NA,647139.19274918,NA
"69","ETH","Ethiopia",325376116.554084,116905342.954608,0.704704221802205,0.409235652741093,15390670.6051308,9522251.39489246
"70","FIN","Finland",347504.105642713,0,0.00673384879204958,NA,1720185.66882087,NA
"71","FJI","Fiji",0,0,NA,NA,0,NA
"72","FLK","Falkland Islands",0,0,NA,NA,0,NA
"73","FRA","France",323532157.538729,17114835.321086,0.622539597163731,0.302324678476822,17323243.8553697,1887025.9403802
"74","FRO","Faroe Islands",0,0,NA,NA,0,NA
"75","FSM","Micronesia (Federated States of)",0,0,NA,NA,0,NA
"76","GAB","Gabon",46368.9092613698,9783437.46209727,2.07232023847911,1.1276116521023,745.845299395752,289208.240675685
"77","GBR","United Kingdom",117221016.106151,40236070.0226282,0.695028568380968,NA,5621879.99356682,NA
"78","GEO","Georgia",2711863.95790288,8447189.78805494,0.263676417118954,0.282399268721146,342827.266280126,997074.086665581
"79","GGY","Guernsey",1411.7526691675,0,0.253469266932378,NA,185.657310154836,NA
"80","GHA","Ghana",121401659.567298,162881113.502225,1.47651740682762,0.797848321079452,2740720.81159627,6805015.82397076
"81","GIB","Gibraltar",0,0,0,NA,0.652821746826172,NA
"82","GIN","Guinea",8678375.10777163,48802898.0871323,0.909513053921529,0.435671190245149,318059.39344331,3733924.35854138
"83","GLP","Guadeloupe",0,0,NA,NA,0,NA
"84","GMB","Gambia",6592000.57600158,6199887.48502338,0.842732279851169,0.473768410585669,260739.214323429,436210.839620926
"85","GNB","Guinea-Bissau",664351.284085285,6398046.24427344,0.610019531279027,0.291185672056774,36302.1865159159,732413.125398788
"86","GNQ","Equatorial Guinea",0,999.181061959365,0,0.389744188505411,0.804168023681641,85.45614375
"87","GRC","Greece",6859071.90589053,1194982.08828065,0.114391565356838,0.200094395589804,1998711.43893464,199069.724859656
"88","GRD","Grenada",0,0,NA,NA,0,NA
"89","GTM","Guatemala",2001761.37203759,215694.914802404,0.412621043590584,NA,161711.042382334,NA
"90","GUF","French Guiana",0,0,0,NA,1.18009171456131,NA
"91","GUM","Guam",0,0,NA,NA,0,NA
"92","GUY","Guyana",1116097.45998241,18395795.5377387,0.305980065716252,1.00234488745787,121587.164768376,611758.679336872
"93","HKG","Hong Kong SAR China",0,0,0,NA,53.5577300114411,NA
"94","HND","Honduras",1940679.48843725,24762.7526879397,0.842571572760852,NA,76776.0489109242,NA
"95","HRV","Croatia",11297274.590162,2187108.79667341,0.410501666373304,0.230857306437448,917355.154728198,315795.18829539
"96","HTI","Haiti",72183.9843132165,0,1.05168836664678,NA,2287.87622526652,NA
"97","HUN","Hungary",53996971.86673,102531.130433125,0.393679832595197,0.291593346261657,4571986.9630078,11720.7899
"98","IDN","Indonesia",88045528.5572806,2322034.79227715,0.385965710714224,NA,7603916.28178175,NA
"99","IMN","Isle of Man",139068.81048739,0,0.721060225767324,NA,6428.90406458529,NA
"100","IND","India",1998704534.33107,5394789.9739004,0.505050867673305,NA,131914404.552213,NA
"101","IOT","British Indian Ocean Territory",0,0,NA,NA,0,NA
"102","IRL","Ireland",9757840.6972042,13924443.5008288,0.792639491014891,0.426527908827975,410352.197008265,1088201.04637395
"103","IRN","Iran",34481514.7800955,56369219.0910273,0.360420354947664,0.206998610826669,3189009.19502752,9077229.85288185
"104","IRQ","Iraq",3733394.57730647,415651.106615768,0.370986202010927,NA,335447.747748177,NA
"105","ISR","Israel",1253214.84510261,0,0.164306294799385,NA,254243.626034486,NA
"106","ITA","Italy",53721620.3658622,3995706.94371659,0.240844545780502,0.1798900444231,7435172.23136154,740398.013043773
"107","JAM","Jamaica",471486.575552566,0,0.675799588615284,NA,23255.7394971017,NA
"108","JEY","Jersey",101570.887117939,0,0.99517257756178,NA,3402.11970627221,NA
"109","JOR","Jordan",135766.745092837,51298.4308002944,0.222033683653787,NA,20382.3045913064,NA
"110","JPN","Japan",41255483.7003848,0,0.471889597894756,NA,2914204.50068816,NA
"111","KAZ","Kazakhstan",203764847.872524,308414799.212467,0.329381340177122,0.0864015363412503,20620966.5432121,118985075.294015
"112","KEN","Kenya",122797450.075388,277293287.319623,0.736876039519326,0.515925597985034,5554866.91970111,17915586.3043432
"113","KGZ","Kyrgyzstan",10790884.3055809,41055443.4566412,0.267685215106646,0.168535804286475,1343728.09262574,8120024.03692127
"114","KHM","Cambodia",228253307.132564,273776.302766778,1.48106124159513,0.333714892738852,5137156.62621151,27346.32753125
"115","KIR","Kiribati",0,0,NA,NA,0,NA
"116","KNA","St. Kitts & Nevis",0,0,NA,NA,0,NA
"117","KOR","South Korea",20758680.6638289,0,0.626017699725865,NA,1105329.80526052,NA
"118","KWT","Kuwait",375.289610256186,0,0.0149886250054281,NA,834.609823828128,NA
"119","LAO","Laos",55548012.7251712,313424.295407069,1.53227561088476,NA,1208399.07064972,NA
"120","LBN","Lebanon",324766.511182685,0,0.146153265097307,NA,74069.8496578143,NA
"121","LBR","Liberia",2884.57598638242,0,0.166131385363831,NA,578.774038805721,NA
"122","LBY","Libya",293933.823363494,1538799.37320505,0.488013540071306,NA,20076.8898967124,NA
"123","LCA","St. Lucia",0,0,NA,NA,0,NA
"124","LIE","Liechtenstein",6565.1551600301,0,0.395576602531774,NA,553.21397659448,NA
"125","LKA","Sri Lanka",6248314.69709596,1687.69133464149,1.61778927346828,NA,128741.833059229,NA
"126","LSO","Lesotho",3624509.76710536,17137649.6473442,0.514365681187343,0.271303610331095,234885.406736226,2105593.02011372
"127","LTU","Lithuania",28824343.6161817,0,0.490363861731774,NA,1959384.71175162,NA
"128","LUX","Luxembourg",834499.531544466,0,0.54033489825235,NA,51480.3895536858,NA
"129","LVA","Latvia",12629627.8860178,0,0.42069619278018,NA,1000692.66949741,NA
"130","MAC","Macao SAR China",0,0,0,NA,0.829197869873047,NA
"131","MAF","Saint Martin (French part)",0,0,0,NA,0.510507220458984,NA
"132","MAR","Morocco",12002113.6908835,17844269.3682894,0.139789197019555,0.164302025428805,2861955.46503365,3620216.959533
"133","MCO","Monaco",0,0,0,NA,1.10485390014648,NA
"134","MDA","Moldova",20911231.3494742,0,0.373842575532571,NA,1864530.92986929,NA
"135","MDG","Madagascar",52856024.0125621,337829181.540218,0.930665999474183,0.527556259807353,1893125.42639448,21345538.9992329
"136","MDV","Maldives",0,0,NA,NA,0,NA
"137","MEX","Mexico",108401296.253503,62318154.8045423,0.356186854434301,0.0531772382656106,10144609.4845983,39063176.174033
"138","MHL","Marshall Islands",0,0,NA,NA,0,NA
"139","MKD","North Macedonia",3872246.30638623,486910.119808825,0.440595309006484,0.260298276890754,292955.631258528,62352.8419812501
"140","MLI","Mali",133718319.100667,174637745.034911,0.955481004744117,NA,4664956.47869971,NA
"141","MLT","Malta",14889.7199250876,0,0.430396907256261,NA,1153.17742561613,NA
"142","MMR","Myanmar (Burma)",225634669.790136,0,0.758159845522483,NA,9920276.97600895,NA
"143","MNE","Montenegro",46800.8233591716,11318.6928209499,0.1247884787183,NA,12501.3740156842,NA
"144","MNG","Mongolia",7243699.8044199,308927878.054951,0.433465372883067,0.177305501545272,557037.944095401,58078265.1717985
"145","MNP","Northern Mariana Islands",0,0,NA,NA,0,NA
"146","MOZ","Mozambique",71732603.0077055,304944872.848738,0.647114166765611,0.347566769929564,3694999.87749393,29245687.3740198
"147","MRT","Mauritania",346533.646478848,14143939.4787856,1.0117851911128,NA,11416.5750307045,NA
"148","MSR","Montserrat",0,0,NA,NA,0,NA
"149","MTQ","Martinique",0,0,NA,NA,0,NA
"150","MUS","Mauritius",0,0,NA,NA,0,NA
"151","MWI","Malawi",60917889.6689272,10424323.3059654,0.921337628996887,NA,2203965.47192846,NA
"152","MYS","Malaysia",1573481.34101818,956.338454898505,0.199570524704125,NA,262811.244855415,NA
"153","MYT","Mayotte",0,0,0,NA,0.697877612304688,NA
"154","NAM","Namibia",6812201.66063267,68451829.1379495,1.0296747541383,0.130945189783483,220529.237776433,17425058.848702
"155","NCL","New Caledonia",0,0,NA,NA,0,NA
"156","NER","Niger",6370637.41435779,12626948.3525716,1.05398988717204,NA,201476.867153215,NA
"157","NFK","Norfolk Island",0,0,NA,NA,0,NA
"158","NGA","Nigeria",865997866.006712,186793145.533425,1.20053916891959,0.696585784514352,24044692.8187568,8938508.82815311
"159","NIC","Nicaragua",4446666.79252865,7781900.59608925,0.871270910055272,0.261327091884133,170121.858433468,992613.068419707
"160","NIU","Niue",0,0,NA,NA,0,NA
"161","NLD","Netherlands",16680794.5360871,4837365.35727028,0.630164266517634,0.327481229575507,882351.656670266,492380.928574202
"162","NOR","Norway",272860.046667404,5806.83083727232,0.0256234412641442,NA,354961.48995572,NA
"163","NPL","Nepal",21814008.6947826,464449.581616806,0.407934892802081,NA,1782474.69385318,NA
"164","NZL","New Zealand",6297790.66744822,31531625.0902744,0.421746981250236,NA,497754.257681458,NA
"165","OMN","Oman",1816.90081647712,6194.33981160037,0.129301159994213,NA,468.38992435913,NA
"166","PAK","Pakistan",8400997.36071082,739233.427814896,0.0164647915561174,NA,17008004.286151,NA
"167","PAN","Panama",3725296.80942348,88635.0664109026,1.4692582181842,NA,84516.4987183673,NA
"168","PCN","Pitcairn Islands",0,0,NA,NA,0,NA
"169","PER","Peru",13766273.8418745,117175864.177391,0.46393437739212,NA,989096.34010869,NA
"170","PHL","Philippines",12521123.6766835,0,0.173156487577974,NA,2410367.61059754,NA
"171","PLW","Palau",0,0,NA,NA,0,NA
"172","PNG","Papua New Guinea",334635.423662579,0,0.531968467422495,NA,20968.3746409483,NA
"173","POL","Poland",169542354.362379,88491.6434899758,0.474595450006964,0.216178877602464,11907850.8064002,13644.8180431863
"174","PRI","Puerto Rico",85821.6552186205,0,1.22072792050842,NA,2343.45573043764,NA
"175","PRK","North Korea",39686156.2311839,0,0.704181312388275,NA,1878595.54222789,NA
"176","PRT","Portugal",2831927.21608715,291310.977715221,0.152714643481892,NA,618130.466845276,NA
"177","PRY","Paraguay",22577932.3109139,126623367.099568,0.270250021693451,0.320240398219116,2784820.28967537,13180032.6466962
"178","PSE","Palestinian Territories",144983.614582166,0,0.20105639057001,NA,24036.9736024683,NA
"179","PYF","French Polynesia",0,0,NA,NA,0,NA
"180","QAT","Qatar",0,0,NA,NA,0,NA
"181","REU","Réunion",0,0,NA,NA,0,NA
"182","ROU","Romania",86087381.0481357,4754141.82682774,0.381389848972366,NA,7524005.62312583,NA
"183","RUS","Russia",849924078.598871,70065458.0024007,0.340911974159553,0.116825561794597,83102984.8388459,19991474.7326703
"184","RWA","Rwanda",23109109.4086048,7883381.41589349,0.859660301897947,NA,896055.855147465,NA
"185","SAU","Saudi Arabia",36161.6990672205,0,0.0788754931182299,NA,15282.1861550905,NA
"186","SDN","Sudan",190632752.132042,730501578.231698,0.498663272486868,NA,12742917.75967,NA
"187","SEN","Senegal",55113698.8147978,32434057.6675865,0.718505650519874,0.404991765419393,2556866.87014548,2669524.04443739
"188","SGP","Singapore",1746.43653394401,0,0.470075767101562,NA,123.840783136752,NA
"189","SHN","St. Helena",0,0,NA,NA,0,NA
"190","SLB","Solomon Islands",0,0,NA,NA,0,NA
"191","SLE","Sierra Leone",393456.191450216,1001888.41615011,0.673506447145309,0.524107800948953,19473.022770997,63720.2508298286
"192","SLV","El Salvador",961532.822516102,99973.2557835794,0.578179568302781,NA,55434.4979328041,NA
"193","SMR","San Marino",2326.10840816693,0,0.0608964625450546,NA,1273.25863766769,NA
"194","SOM","Somalia",19333819.0330768,256385860.008372,0.700742323512444,0.441726148378151,919682.760426912,19347270.6222866
"195","SRB","Serbia",32741900.8896579,233592.512109026,0.415302534541925,NA,2627955.78053895,NA
"196","STP","São Tomé & Príncipe",0,0,NA,NA,0,NA
"197","SUR","Suriname",120177.210181599,0,0.148899458274494,NA,26903.4357308973,NA
"198","SVK","Slovakia",15071511.0529034,279023.789743318,0.375514769415502,0.171681539368553,1337853.37536901,54174.6831118383
"199","SVN","Slovenia",1707956.92764765,55440.9882785185,0.406149323255978,NA,140174.793674033,NA
"200","SWE","Sweden",16379465.4279883,48989.9842715369,0.314228202294448,0.230394405511174,1737533.98627578,7087.84344001226
"201","SWZ","Eswatini",1443540.30974045,12433212.2330905,0.464365959258568,0.382463501452902,103620.882119589,1083607.73301324
"202","SXM","Sint Maarten",0,0,0,NA,3.65940087280273,NA
"203","SYC","Seychelles",0,0,NA,NA,0,NA
"204","SYR","Syria",2945166.15796941,611002.939861426,0.160118492555297,0.205091704806438,613122.217795943,99305.6480820095
"205","TCA","Turks & Caicos Islands",0,0,NA,NA,0,NA
"206","TCD","Chad",116588900.818166,336247060.42872,0.75135392789703,0.391607354928103,5172391.53166639,28621105.3152507
"207","TGO","Togo",56314382.3946279,4653753.68568679,1.6999868067608,NA,1104212.14585641,NA
"208","THA","Thailand",756466919.278513,0,1.61834285644844,NA,15581101.2947452,NA
"209","TJK","Tajikistan",9404583.15136081,5980112.86604581,0.360210405086964,0.172371612563308,870286.090069155,1156438.07336112
"210","TKM","Turkmenistan",2199983.75200084,3405240.031108,0.0392633531850291,0.0452028134465868,1867715.96882669,2511082.66017686
"211","TLS","Timor-Leste",2178876.6991309,18329.7504828462,1.59073878800078,0.0660407139861239,45657.5421761374,9251.74253703431
"212","TON","Tonga",0,0,NA,NA,0,NA
"213","TTO","Trinidad & Tobago",97040.2558894278,0,1.14756983983504,NA,2818.71750548903,NA
"214","TUN","Tunisia",2975019.27906822,729470.421010085,0.19613272217111,0.130993581199868,505613.281682587,185624.978549413
"215","TUR","Turkey",141958898.336322,41965671.7400731,0.35733436595635,0.251870056804581,13242396.2783793,5553878.62462125
"216","TUV","Tuvalu",0,0,NA,NA,0,NA
"217","TWN","Taiwan",5088978.85566941,160506.518901939,0.53973917362749,0.605611803656607,314286.301255926,8834.400625
"218","TZA","Tanzania",378464819.132186,395987713.295218,0.969573197498423,0.4603810103719,13011388.9323899,28671014.107448
"219","UGA","Uganda",82096134.5614579,28669922.3754592,0.508055856589425,0.411455722400752,5386293.225878,2322641.36127671
"220","UKR","Ukraine",309586458.524728,73707.9634378565,0.316248452101035,0.174779285808851,32631143.4852305,14057.3415392157
"221","UMI","United States Minor Outlying Islands (the)",0,0,NA,NA,0,NA
"222","URY","Uruguay",37297418.2645213,146017071.806131,0.466224625851779,NA,2666627.21475226,NA
"223","USA","United States",1176682228.40675,316876994.638135,0.328594421287437,NA,119365206.485297,NA
"224","UZB","Uzbekistan",20825945.1458271,19003079.3698395,0.140940987921215,0.113823739663857,4925452.71440571,5565060.33684455
"225","VAT","Vatican City",0,0,NA,NA,0,NA
"226","VCT","St. Vincent & Grenadines",0,0,NA,NA,0,NA
"227","VEN","Venezuela",14065903.6841261,95245517.3842656,0.775764167512499,0.371834300079706,604389.163321317,8538347.80383348
"228","VGB","British Virgin Islands",0,0,0,NA,2.62544039986405,NA
"229","VIR","U.S. Virgin Islands",0,0,0,NA,162.613828141827,NA
"230","VNM","Vietnam",113880478.94214,188755.88204842,0.938484505094931,NA,4044836.05656764,NA
"231","VUT","Vanuatu",131.59439681057,0,0.309456137909472,NA,14.1748033285702,NA
"232","WLF","Wallis & Futuna",0,0,NA,NA,0,NA
"233","WSM","Samoa",0,0,NA,NA,0,NA
"234","YEM","Yemen",963635.930895195,8562206.90400633,0.133600316679685,0.126447670047243,240427.556571734,2257114.7154675
"235","ZAF","South Africa",69056706.1990511,238231549.775007,0.350341465072969,0.137106718717173,6570418.96583836,57918763.8174602
"236","ZMB","Zambia",72915886.6686865,148428638.067392,0.62608593558147,0.23579540910056,3882102.1484304,20982687.0157725
"237","ZWE","Zimbabwe",123351986.363205,169957593.156834,0.93405850243194,0.333846355557972,4402007.87002966,16969641.9053585
