ADM0_CODE,ADM0_NAME,areaHa,sum
2647,Montenegro,1375248.7994667792,12644.62030223095
2648,Serbia,8830166.067705309,2630932.9132682793
74,South Sudan,6.325043999592705E7,397678.4780490017
6,Sudan,1.8493810568671167E8,1.8686385735465895E7
147296,Taiwan,3621078.487012282,327594.04324695776
56,Cocos (Keeling) Islands,1583.2597012558101,0.0
54,Christmas Island,13634.107975092116,0.0
16,Ashmore and Cartier Islands,69.07711941261599,0.0
82,Faroe Islands,139160.47916418288,0.0
88,French Southern and Antarctic Territories,767604.7318854181,0.0
161,Mayotte,37975.04624938594,2.5301253601074225
206,R�union,251128.70815666346,0.0
247,Tromelin Island,89.1035644985283,0.0
131,Juan de Nova Island,552.4863305611332,0.0
96,Glorioso Island,493.9740071922954,0.0
80,Europa Island,2479.362128412071,0.0
25,Bassas da India,105.4896796256114,0.0
210,Saint Pierre et Miquelon,23252.68191535043,163.20574746704128
37,Brazil,8.51829085454009E8,5.32066703617109E7
250,Turkmenistan,5.545690044901421E7,2614274.286546782
261,Uzbekistan,4.488872905388646E7,5805012.77722351
239,Tajikistan,1.4190155069767214E7,1131607.3028284544
138,Kyrgyzstan,1.9891031344047796E7,1416831.7461433574
132,Kazakhstan,2.8329982710690683E8,2.2020971814203948E7
167,Mongolia,1.5604355578223833E8,558146.2883787882
202,Republic of Korea,9910137.187147338,1193172.3029563169
67,Dem People's Rep of Korea,1.2233206884463632E7,1902696.761399969
147295,China,9.343372231452856E8,1.2322812307100464E8
171,Myanmar,6.6889653974108204E7,1.1612736857626874E7
44,Cambodia,1.8211978385532655E7,5966230.228617584
264,Viet Nam,3.286658426228757E7,4996010.54833697
139,Lao People's Democratic Republic,2.311001358607382E7,1359291.6457423635
153,Malaysia,3.3123385983418867E7,305368.3140977933
240,Thailand,5.1724223014046006E7,1.737458938760694E7
40,Brunei Darussalam,592492.6113652972,293.7071144392418
196,Philippines,2.9718101446289226E7,3652539.289779792
116,Indonesia,1.8969785062123498E8,8686711.303784108
222,Singapore,59666.900359775194,185.06080574750098
242,Timor-Leste,1495447.439234595,53500.49594313598
154,Maldives,22420.38571894398,0.0
175,Nepal,1.476551620446641E7,1821776.489037688
188,Pakistan,7.894146342584172E7,1.8817451447817616E7
115,India,2.9685193040796506E8,1.363332085561358E8
117,Iran  (Islamic Republic of),1.6782635231392774E8,1.4100153978401847E7
231,Sri Lanka,6645400.85012693,993629.7084623291
31,Bhutan,3773585.7320460305,13029.301229011091
23,Bangladesh,1.4014572301408524E7,6466329.42857446
1,Afghanistan,6.4204947900660984E7,3162912.4683511266
187,Oman,3.0920016892244544E7,30354.948353256495
137,Kuwait,1742052.436787621,9900.296411639602
141,Lebanon,1013869.9125916223,104636.31838781812
201,Qatar,1157245.4403817973,6651.293790905636
215,Saudi Arabia,1.9297880167054433E8,1297100.8061533808
249,Turkey,7.805741067588623E7,1.8284666552386068E7
269,Yemen,4.5514795111517735E7,628946.6743409185
118,Iraq,4.360974973227138E7,6291928.206608848
130,Jordan,8914202.624316065,262636.00936398626
238,Syrian Arab Republic,1.881517189079607E7,4606690.79783137
121,Israel,2073762.6622446156,375527.02545611386
92,Georgia,6967603.739950553,344995.6014198292
64,Cyprus,924986.2943167958,270121.7456909067
21,Bahrain,67458.85558466554,237.8110498643123
19,Azerbaijan,1.645849122228552E7,2115997.8588262573
13,Armenia,2959021.424718407,365536.70745338703
255,United Arab Emirates,7135417.26824485,10911.830322196196
165,"Moldova, Republic of",3370582.4933658815,1856212.4919250454
113,Hungary,9286469.532451896,4584441.638290711
198,Poland,3.1075583808148023E7,1.1943431537139155E7
203,Romania,2.3754290268263202E7,7532287.792088967
254,Ukraine,5.98637506463604E7,3.269379285350708E7
26,Belarus,2.0671246075877342E7,5683218.436996294
65,Czech Republic,7858298.442462465,2668847.782751839
223,Slovakia,4892048.187986373,1341293.5199236646
41,Bulgaria,1.1111097030884387E7,3701896.395688892
186,Norway,3.222264772045802E7,438529.8635981095
236,Sweden,4.4650961338309094E7,1893886.4413743925
147,Lithuania,6464487.732557937,1965355.5650833058
140,Latvia,6424542.31526962,1016614.315002827
119,Ireland,6952286.359153488,464399.61334452423
114,Iceland,1.018971440689602E7,53938.43951867713
256,U.K. of Great Britain and Northern Ireland,2.432597656165418E7,5966165.125832841
84,Finland,3.347448126984447E7,1966806.6463301368
78,Estonia,4520054.192295528,669612.7509783866
69,Denmark,4424826.53089501,2225690.077046864
241,The former Yugoslav Republic of Macedonia,2538752.090909701,294582.07425469556
62,Croatia,5646322.103857141,918767.517117804
156,Malta,31598.455212656885,3989.544825829489
213,San Marino,5992.417153511561,1275.4136352927133
224,Slovenia,2026997.8612887675,146883.74688242452
97,Greece,1.3243848806919191E7,2036658.5085750981
122,Italy,3.01143661624468E7,7540046.535217215
199,Portugal,8866299.447236713,659755.0749275504
229,Spain,5.051956003399184E7,1.1400627285172263E7
34,Bosnia and Herzegovina,5104159.888501327,234837.30986063642
7,Andorra,47384.02034349461,53.77478197021485
3,Albania,2864389.5273047118,243439.78517778686
166,Monaco,841.7048567871996,0.8449325500488281
177,Netherlands,3506561.8419825165,969208.4631647997
148,Luxembourg,261195.73861256076,53684.35848215268
146,Liechtenstein,15053.518952041719,661.4119596122258
85,France,5.4737537594584405E7,1.7473264880086124E7
93,Germany,3.559335863484174E7,1.2289546321062569E7
237,Switzerland,4114819.353208353,274302.7056279229
27,Belgium,3056071.2235949473,932162.0396387469
18,Austria,8372697.550304478,1265763.9512902077
17,Australia,5.686095716671312E8,2.498646572241117E7
189,Palau,45277.92522242282,2.039465472412109
46,Canada,1.630433374060442E8,6390016.757603747
46,Canada,4.249407754431912E7,759688.5118510814
46,Canada,1.4716402101466425E7,4746.82858874688
170,Mozambique,7.898756636911367E7,3929920.7101708595
160,Mauritius,201955.79145943763,0.0
152,Malawi,1.1916380386958119E7,2329150.3058612435
205,Rwanda,2550204.0052894196,912592.2830663949
226,Somalia,6.352751508620481E7,1179793.5497831237
270,Zambia,7.538785862518169E7,4080278.2550814673
133,Kenya,5.849443995062296E7,5792714.241141798
150,Madagascar,5.905909344025929E7,1968373.9161413184
220,Seychelles,50142.65760129992,0.0
257,United Republic of Tanzania,9.436309226930924E7,1.5565522167180862E7
253,Uganda,2.425760014587627E7,5790424.020716545
271,Zimbabwe,3.918433080254385E7,5822939.0100614
79,Ethiopia,1.1340119992169148E8,1.605767602415312E7
77,Eritrea,1.2119131236956222E7,286260.21119457314
70,Djibouti,2175507.977525058,0.701111297607422
58,Comoros,165811.68997225963,0.0
43,Burundi,2697645.5489813583,408274.31200274767
89,Gabon,2.652053972758315E7,3786.446741259852
76,Equatorial Guinea,2712085.9893643064,1.9656766418457032
50,Chad,1.2692869159458677E8,5932803.7135520745
214,Sao Tome and Principe,99533.55898951883,0.0
59,Congo,3.421199790094176E7,170666.8229829622
68,Democratic Republic of the Congo,2.3393591338756606E8,3813368.5547941737
45,Cameroon,4.6738027827388026E7,2083947.257257914
49,Central African Republic,6.222572984992438E7,256394.84257589807
8,Angola,1.2514690730610271E8,2992049.187385033
169,Morocco,4.143432088480359E7,6310549.403391803
145,Libya,1.623903206137921E8,914207.8658181197
248,Tunisia,1.5521222069168247E7,1933240.351962801
40765,Egypt,9.839306984686735E7,3451198.913352403
4,Algeria,2.3121837456547642E8,5632626.76638422
172,Namibia,8.261046116967545E7,584474.0495856041
235,Swaziland,1732068.1882519855,104368.71959850767
142,Lesotho,3049043.4471933437,246182.63562435596
227,South Africa,1.2217477226349914E8,7730030.405435163
35,Botswana,5.797391417216544E7,284869.71984530316
243,Togo,5700432.304457625,1333745.2159510371
221,Sierra Leone,7258426.952112571,31834.0132259268
217,Senegal,1.9691836237252682E7,3414995.793178029
182,Nigeria,9.127021237203276E7,3.297715083100094E7
181,Niger,1.1864024837407553E8,8020527.977262499
159,Mauritania,1.041491966937342E8,50019.36999667196
155,Mali,1.2554983097123848E8,6134462.655551867
144,Liberia,9651742.728688128,796.975287813027
105,Guinea-Bissau,3086013.4038674114,55558.596766608825
90,Gambia,1124454.558361495,278145.9007315944
106,Guinea,2.440056207173036E7,327655.2840519263
94,Ghana,2.398499310406244E7,3006453.8364892825
47,Cape Verde,407042.87507616845,0.0
66,C�te d'Ivoire,3.2312821810647786E7,1362421.107766899
42,Burkina Faso,2.7434002919138055E7,4232438.007441217
29,Benin,1.1572006000516739E7,2697626.4703834006
234,Svalbard and Jan Mayen Islands,6293135.407609756,0.0
151,Madeira Islands,80319.26766282883,780.2268005167155
74578,Azores Islands,232125.97862902711,0.0
104,Guernsey,7921.8046279555365,294.19526816966476
128,Jersey,11962.699834280156,4121.691360999423
38,British Indian Ocean Territory,4970.615338116075,0.0
120,Isle of Man,57023.75379972808,7411.919307076688
110,Holy See,49.69308550446188,0.0
98,Greenland,2.1485908065622148E8,0.0
268,Western Sahara,2.6919272593009945E7,225.27761727295027
91,Gaza Strip,36274.58985575108,14463.790891826487
267,West Bank,7982.132873349244,1524.0292894071115
267,West Bank,578653.9228616027,59425.96318941638
95,Gibraltar,571.0687831920185,0.7978934448242188
207,Saint Helena,39947.7387564477,0.0
149,Macau,1694.0373152599045,0.5805525268554688
33364,Hong Kong,108332.54135557236,65.50801425953583
102,Abyei,997889.1048566834,1397.494245430093
193,Paracel Islands,808.1323239400314,0.0
218,Senkaku Islands,547.8547601808073,0.0
216,Scarborough Reef,4446.9730194972535,0.0
52,China/India,352892.3827521831,1.5958579223632814
2,Aksai Chin,3066754.904022416,0.0
230,Spratly Islands,148.68006554917739,0.0
40781,Jammu and Kashmir,1.8606670052118875E7,524741.7032852141
15,Arunachal Pradesh,6806730.664968393,19536.759381127653
61013,Ilemi triangle,319252.9944413371,0.0
40760,Hala'ib triangle,1785376.3247682822,0.0
40762,Ma'tan al-Sarra,199535.524651636,0.0
184,Norfolk Island,3813.6338585023104,0.0
266,Wallis and Futuna,14211.121147006474,0.0
87,French Polynesia,398114.663113317,0.0
126,Japan,3.7347654757758304E7,3164424.183566259
204,Russian Federation,1.690492220210168E9,8.527530669365561E7
179,New Zealand,2.700234542928503E7,546812.2054755335
17,Australia,1.718862995356489E7,1642473.729002504
17,Australia,1.8443993281568983E8,1.883332775145564E7
192,Papua New Guinea,4.6421994705870956E7,22909.36337219987
262,Vanuatu,1227800.0089975013,90.72843883269661
225,Solomon Islands,2838158.0827483926,83.36490575595032
83,Fiji,1835309.9460270358,36427.97520224473
157,Marshall Islands,26910.448499918188,0.0
173,Nauru,2178.496383381683,0.0
163,Micronesia (Federated States of),74322.83286308091,0.0
135,Kiribati,102471.14705261272,0.0
212,Samoa,284588.4228324808,0.0
245,Tonga,70185.3844996817,0.0
252,Tuvalu,4772.279876694118,0.0
46,Canada,2841750.7651495286,0.0
46,Canada,3.803606197177581E7,117875.59435974483
46,Canada,1.9709724859952027E8,1783321.983511889
46,Canada,2.336447122459359E8,2.616401582049218E7
46,Canada,1.409655898481782E8,3013298.4595330907
46,Canada,1.0308506651079087E8,0.0
46,Canada,4.653660071304325E7,0.0
259,United States of America,5.642947908319114E8,4.9839579741136126E7
259,United States of America,2.3085582162737098E8,8.311720735279566E7
259,United States of America,1.863122753261648E7,884144.2584561264
60,Cook Islands,24215.614801568692,0.0
183,Niue,26422.57255834477,0.0
185,Northern Mariana Islands,47744.50365452628,0.0
265,Wake Island,733.7217036012537,0.0
127,Jarvis Island,460.9618468788688,0.0
178,New Caledonia,1862489.776838188,1952.2659653657333
244,Tokelau,1502.3064746663208,0.0
101,Guam,54593.0100175627,0.0
5,American Samoa,20071.85791396678,0.0
136,Kuril islands,498530.423705692,3.2440722045898425
158,Martinique,110759.35692414764,3260.585151335915
100,Guadeloupe,170251.5096104584,14131.416965440827
55,Clipperton Island,889.5699182955693,0.0
195,Peru,1.2959014368947092E8,1085892.95011971
51,Chile,7.531256489268367E7,1201941.033766842
33,Bolivia,1.0881056656603555E8,2710485.490490791
71,Dominica,75355.41638332178,6.72558095703125
72,Dominican Republic,4824666.1914251335,379763.5484196975
11,Antigua and Barbuda,45394.25720400582,1283.27258815379
63,Cuba,1.1115853151377998E7,1306629.51240601
99,Grenada,31954.731649115656,0.0
123,Jamaica,1099956.6672438951,27597.455529191793
208,Saint Kitts and Nevis,26332.24785427411,301.9994355895997
246,Trinidad and Tobago,516445.67346587306,3301.557771557597
20,Bahamas,1193018.219430087,1161.2373716410846
209,Saint Lucia,60503.926069528294,241.67368436279355
211,Saint Vincent and the Grenadines,42828.30651311006,1.6550671142578124
24,Barbados,43466.30816024963,7961.22691834113
108,Haiti,2710457.76329267,86495.46507138568
191,Panama,7516404.558468479,121063.23412777117
75,El Salvador,2080931.9665997715,78406.33840876963
180,Nicaragua,1.2886623094791599E7,241277.52153580848
162,Mexico,1.95389954341675E8,1.1160449705502272E7
111,Honduras,1.1252910249776747E7,114632.28300037648
103,Guatemala,1.0944236182502992E7,349862.51684059727
61,Costa Rica,5125072.283466249,174729.99343085225
28,Belize,2183620.026463014,55913.76724783527
259,United States of America,3.930385357135889E7,4053875.6248491392
259,United States of America,7.690273768863657E7,1.1188351213781888E7
57,Colombia,1.1429279816041951E8,902070.4202970696
107,Guyana,2.1264957367845353E7,142255.21372690928
73,Ecuador,2.5739521337920308E7,397501.2766109555
86,French Guiana,8366334.601139602,1079.9557300177737
194,Paraguay,4.0032136979177095E7,2812807.954956818
233,Suriname,1.457410380657525E7,39934.15292664524
260,Uruguay,1.7790895968534138E7,2672305.300869368
263,Venezuela,9.159092252248697E7,724513.4964187309
176,Netherlands Antilles,79265.04778952726,29.173803240966784
174,Navassa Island,467.9223182442068,0.0
200,Puerto Rico,896574.3121978466,26850.61198101341
190,Palmyra Atoll,236.07522829613563,0.0
164,Midway Island,681.355809669833,0.0
134,Kingman Reef,32915.025588912846,0.0
129,Johnston Atoll,286.44689202810866,0.0
112,Howland Island,189.27394331803768,0.0
22,Baker Island,166.39866770980635,0.0
32,Bird Island,4.722338273382869,0.0
14,Aruba,18045.513349860677,0.0
197,Pitcairn,4906.061411792071,0.0
48,Cayman Islands,26935.139845873076,72.57935836791995
168,Montserrat,10156.20618978298,12.13491300671148
251,Turks and Caicos islands,53092.38034696308,23.872418310546877
39,British Virgin Islands,15467.417969822407,7.889118206787112
9,Anguilla,7895.079283356496,46.59053597337909
30,Bermuda,6323.682117411391,0.0
258,United States Virgin Islands,35347.439918952485,317.06530328785647
81,Falkland Islands (Malvinas),1203832.795687013,0.0
228,South Georgia and the South Sandwich Islands,385315.8619039717,0.0
12,Argentina,2.780356059627595E8,4.3355295045314275E7
109,Heard Island and McDonald Islands,41060.914326199076,0.0
36,Bouvet Island,4475.027544598489,0.0
10,Antarctica,1.243681973745551E9,0.0
