"","continent","biome","repTree","name","id","institution","countryExpertise","reasonImportance","reason","crop","b_or_f"
"1","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Top","acts as barrier or living fence","corn","boundary"
"2","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Top","produces something of extractive  value","corn","boundary"
"3","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Top","produces something of extractive  value","corn","boundary"
"4","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Gliricidia sepium","Paramu Mafongoya",11,"University of KwaZulu-Natal","Kenya; Zambia; Zimbabwe; Malawi; Tanzania; Mozambique and South Africa","Top","Other","corn","boundary"
"5","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Top","improves soil","corn","boundary"
"6","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Top","improves soil","corn","boundary"
"7","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Top","improves microclimate","corn","boundary"
"8","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Top","acts as barrier or living fence","corn","boundary"
"9","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Top","improves microclimate","corn","boundary"
"10","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Top","produces something of extractive  value","corn","boundary"
"11","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Top","produces something of extractive  value","corn","boundary"
"12","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Top","produces something of extractive  value","corn","boundary"
"13","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Top","acts as barrier or living fence","corn","boundary"
"14","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Top","produces something of extractive  value","corn","boundary"
"15","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Top","acts as windbreak","corn","boundary"
"16","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Second","acts as windbreak","corn","boundary"
"17","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Second","acts as barrier or living fence","corn","boundary"
"18","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Second","aesthetics","corn","boundary"
"19","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Second","improves microclimate","corn","boundary"
"20","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Second","improves microclimate","corn","boundary"
"21","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Second","improves soil","corn","boundary"
"22","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Second","acts as windbreak","corn","boundary"
"23","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Second","improves soil","corn","boundary"
"24","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Second","acts as barrier or living fence","corn","boundary"
"25","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Second","acts as barrier or living fence","corn","boundary"
"26","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Second","acts as barrier or living fence","corn","boundary"
"27","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Second","produces something of extractive  value","corn","boundary"
"28","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Second","improves microclimate","corn","boundary"
"29","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Second","improves soil","corn","boundary"
"30","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Third","produces something of extractive  value","corn","boundary"
"31","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Third","improves soil","corn","boundary"
"32","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Third","trees already present","corn","boundary"
"33","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Third","acts as barrier or living fence","corn","boundary"
"34","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Third","produces something of extractive  value","corn","boundary"
"35","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Third","provides habitat","corn","boundary"
"36","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Third","produces something of extractive  value","corn","boundary"
"37","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Third","provides habitat","corn","boundary"
"38","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Third","acts as windbreak","corn","boundary"
"39","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Third","improves microclimate","corn","boundary"
"40","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Third","improves microclimate","corn","boundary"
"41","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Third","improves soil","corn","boundary"
"42","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Third","improves soil","corn","boundary"
"43","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Third","provides habitat","corn","boundary"
"44","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Fourth","improves microclimate","corn","boundary"
"45","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Fourth","acts as windbreak","corn","boundary"
"46","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Fourth","acts as windbreak","corn","boundary"
"47","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Fourth","provides habitat","corn","boundary"
"48","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Fourth","acts as windbreak","corn","boundary"
"49","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Fourth","trees already present","corn","boundary"
"50","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Fourth","improves microclimate","corn","boundary"
"51","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Fourth","acts as windbreak","corn","boundary"
"52","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Fourth","improves microclimate","corn","boundary"
"53","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Fourth","improves soil","corn","boundary"
"54","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Fourth","improves soil","corn","boundary"
"55","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Fourth","provides habitat","corn","boundary"
"56","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Fourth","acts as windbreak","corn","boundary"
"57","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Fourth","improves microclimate","corn","boundary"
"58","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Fifth","improves soil","corn","boundary"
"59","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Fifth","improves microclimate","corn","boundary"
"60","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus tomentosa","Huasen Xu",8,"Hebei Agricultural University","China","Fifth","farmers compensated","corn","boundary"
"61","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Fifth","produces something of extractive  value","corn","boundary"
"62","Africa","Tropical & Subtropical Moist Broadleaf Forests","Markhamia lutea ","AthanaseMukuralinda ",15,"CIFOR-ICRAF","Rwanda ","Fifth","acts as barrier or living fence","corn","boundary"
"63","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Fifth","acts as barrier or living fence","corn","boundary"
"64","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Fifth","improves soil","corn","boundary"
"65","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Fifth","farmers compensated","corn","boundary"
"66","Europe","Temperate Broadleaf & Mixed Forests","Hybrid poplars","Pierluigi Paris",23,"National Research Council (CNR)- Research Institute on Terrestrial Ecosystems","Italy","Fifth","improves soil","corn","boundary"
"67","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Fifth","provides habitat","corn","boundary"
"68","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Fifth","acts as windbreak","corn","boundary"
"69","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Fifth","improves microclimate","corn","boundary"
"70","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Fifth","aesthetics","corn","boundary"
"71","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Fifth","farmers compensated","corn","boundary"
"72","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Sixth","provides habitat","corn","boundary"
"73","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Sixth","provides habitat","corn","boundary"
"74","Asia (includes Middle East)","Temperate Broadleaf & Mixed Forests","Populus deltoides","Amit Kumar",14,"Forest Research Institute Dehradun ","India ","Sixth","farmers compensated","corn","boundary"
"75","Africa","Temperate Grasslands; Savannas & Shrublands","Faidherbia albida","Tesfaye Shiferaw Sida",16,"CIMMYT","Ethiopia; Kenya; Tanzania; Rwanda","Sixth","acts as windbreak","corn","boundary"
"76","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","sugar maple","Andy Gordon",21,"University of Guelph","Canada/other temperate countries","Sixth","provides habitat","corn","boundary"
"77","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Quercus macrocarpa","Alain Cogliastro",22,"IRBV - Institut de Recherche en Biologie V<e9>g<e9>tale","southern Qu<e9>bec; Canada","Sixth","produces something of extractive  value","corn","boundary"
